,player_id,hand,dob,ioc,rank,points,wins,losses,total,name
619,207989,R,20030505,ESP,7,5005,65.0,22.0,87.0,Carlos Alcaraz
620,208004,R,20020204,FRA,421,96,0.0,2.0,2.0,Harold Mayot
621,208013,R,20010212,AUS,399,108,1.0,1.0,2.0,Dane Sweeny
622,208014,U,20010223,AUS,239,236,0.0,1.0,1.0,Rinky Hijikata
623,208028,U,20020416,URU,1019,10,1.0,1.0,2.0,Francisco Llanes
624,208029,R,20030429,DEN,28,1489,27.0,25.0,52.0,Holger Rune
625,208055,R,19990118,NZL,764,24,1.0,2.0,3.0,Ajeet Rai
626,208103,R,20011108,CZE,79,791,4.0,10.0,14.0,Jiri Lehecka
627,208134,R,20030806,ITA,199,304,0.0,2.0,2.0,Luca Nardi
628,208230,R,20020817,RUS,381,114,0.0,2.0,2.0,Alibek Kachmazov
629,208260,R,20021129,USA,391,110,1.0,3.0,4.0,Zachary Svajda
630,208278,R,20030602,JPN,404,105,0.0,2.0,2.0,Shintaro Mochizuki
631,208286,R,20010222,GBR,233,242,0.0,1.0,1.0,Matteo Arnaldi
632,208364,L,20000206,URU,1069,9,0.0,2.0,2.0,Franco Roncadelli
633,208502,L,20020816,SUI,200,303,5.0,3.0,8.0,Dominic Stricker
634,208518,R,20000101,UNK,665,34,1.0,1.0,2.0,Hazem Naw
635,208597,R,20040606,HKG,1027,10,0.0,1.0,1.0,Chak Lam Coleman Wong
636,208819,U,20030913,GER,849,17,0.0,1.0,1.0,Max Hans Rehberg
637,208843,,20030212,SUI,618,40,1.0,0.0,1.0,Jerome Kym
638,208859,R,20010107,ITA,273,196,0.0,1.0,1.0,Francesco Passaro
639,208937,R,20010126,THA,1017,10,1.0,2.0,3.0,Kasidit Samrej
640,209070,R,20020823,FRA,342,135,1.0,2.0,3.0,Arthur Cazaux
641,209080,R,20011126,USA,875,16,2.0,2.0,4.0,Blaise Bicknell
642,209098,R,20030718,SRB,407,102,0.0,2.0,2.0,Hamad Medjedovic
643,209119,U,20020325,MAR,1816,1,1.0,0.0,1.0,Aissa Benchakroun
644,209147,U,20041229,LTU,1059,9,0.0,1.0,1.0,Vilius Gaubas
645,209225,U,20040421,PAR,1712,1,1.0,1.0,2.0,Martin Antonio Vergara Del Puerto
646,209226,R,20040428,PAR,1233,5,2.0,2.0,4.0,Adolfo Daniel Vallejo
647,209262,R,20010226,AUS,466,81,0.0,1.0,1.0,Tristan Schoolkate
648,209362,R,20010407,GRE,1135,7,1.0,1.0,2.0,Aristotelis Thanos
649,209857,R,20020127,SUI,296,170,0.0,2.0,2.0,Leandro Riedi
650,209863,R,20030515,SWE,825,19,0.0,1.0,1.0,Leo Borg
651,209866,R,20020615,LAT,1494,3,0.0,1.0,1.0,Karlis Ozolins
652,209867,R,20030508,BLR,2133,1,1.0,2.0,3.0,Daniil Ostapenkov
653,209871,U,19990304,EGY,996,11,1.0,1.0,2.0,Amr Elsayed Abdou Ahmed Mohamed
654,209874,U,20030706,POL,752,25,1.0,0.0,1.0,Maks Kasnikowski
655,209903,R,20020906,AUT,437,91,0.0,1.0,1.0,Lukas Neumayer
656,209916,U,20030913,SRB,636,38,0.0,2.0,2.0,Marko Topo
657,209992,U,20050202,CHN,406,102,0.0,3.0,3.0,Juncheng Shang
658,210107,U,20040604,SLO,1712,1,1.0,1.0,2.0,Bor Artnak 
659,210220,U,20040101,LTU,1688,2,0.0,1.0,1.0,Edas Butvilas
660,210250,U,20041019,BLR,1063,9,0.0,1.0,1.0,Erik Arutiunian
661,210274,U,20030513,SLO,1443,3,0.0,1.0,1.0,Sebastian Dominko
662,210308,U,20041104,CYP,1389,3,0.0,1.0,1.0,Stylianos Christodoulou
